====================
cafe  |  Русский чай
school  |  Середня загальноосвітня школа №243
clinic  |  Дитяча поліклініка №1 Деснянського району
clinic  |  Центральна поліклініка Деснянського району
bank  |  ПриватБанк
police  |  Відділ по обігу зброї
bicycle_rental  |  Йор Байк
fuel  |  AMIC
cafe  |  Кафік
pharmacy  |  Аптека Доброго Дня
pub  |  Щедрий келих
recycling  |  Recycle point
pharmacy  |  Аптека №194
pharmacy  |  Аптека доброго дня
fuel  |  Glusco
atm  |  ПриватБанк
pharmacy  |  Аптекар
fast_food  |  Domino's
bank  |  Ощадбанк
atm  |  UrkSotsBank
restaurant  |  Сушия
fast_food  |  Матусина кухня
bar  |  SanMarino
dentist  |  Stomatolog
bank  |  ПриватБанк
restaurant  |  Carbonara
pharmacy  |  Аптека низьких цін
pharmacy  |  Екостатус
place_of_worship  |  Церква Святих Останніх Днів
bank  |  Ощадбанк
bank  |  Ощадбанк
pharmacy  |  БОСМ
atm  |  ПриватБанк
atm  |  ПриватБанк
fast_food  |  Діброва
bank  |  ПриватБанк
bank  |  Ощадбанк
pharmacy  |  Економ
atm  |  ПриватБанк
atm  |  Укргазбанк
fuel  |  Amic
veterinary  |  Друг
restaurant  |  Япошка
restaurant  |  Жовте море
pharmacy  |  Аптекарь
atm  |  Райффайзен Банк
bank  |  Райффайзен Банк
restaurant  |  Авалон
fast_food  |  McDonald's
pharmacy  |  ПедіатрІя
bank  |  Правекс
library  |  Бібліотека імені О. Донченка
library  |  Бібліотека №5
post_office  |  Укрпошта
cafe  |  Le cafe de Paris
pharmacy  |  Аптекарь
cafe  |  Sem&Friens CF
pharmacy  |  36.6
pharmacy  |  Ветеринарна аптека №1
pharmacy  |  Здорове майбутнє
cafe  |  МамаНеГорюй
bank  |  Ощадбанк
bank  |  ПриватБанк
cafe  |  Aroma Kava
cafe  |  Кувшин
bank  |  ПриватБанк
atm  |  ПриватБанк
bank  |  ФІнанси та кредит
pharmacy  |  Космо
pharmacy  |  Аптека №85
atm  |  ПриватБанк
atm  |  Райффайзен Банк
atm  |  ПриватБанк
bank  |  Ощадбанк
bank  |  Ощадбанк
bank  |  ПриватБанк
fast_food  |  Суши Wok
pharmacy  |  Вітамін
pharmacy  |  Велика Аптека
hospital  |  Бучанська міська поліклініка
atm  |  Райффайзен Банк
cinema  |  Європа
atm  |  Райффайзен Банк
pharmacy  |  Центральная аптека
bank  |  Укргазбанк
fuel  |  WOG
atm  |  Райффайзен Банк
atm  |  ПриватБанк
restaurant  |  Сушия
fuel  |  Укрнафта
dentist  |  Медеко
bank  |  Ощадбанк
bank  |  ПриватБанк
pharmacy  |  ТриДо
dentist  |  Вікторія
pharmacy  |  Діамед
doctors  |  Дитяча поліклініка
cafe  |  54 Pizza Express
bank  |  ПриватБанк
bank  |  Сбербанк Росії
pharmacy  |  Аптека низьких цін
library  |  Бібліотека ім. Котляревського для дорослих і дітей
dentist  |  Сучасна стоматологія
bank  |  ПриватБанк
bank  |  Ощадбанк
dentist  |  Стоматологічна поліклініка Дарницького району
pharmacy  |  Віталюкс
cafe  |  To cafe
post_office  |  Відділення №40
restaurant  |  Голосіївський
atm  |  Укргазбанк
pharmacy  |  Фалбі
post_office  |  УкрПошта 03118
restaurant  |  Пивний Сад
bank  |  Правекс-Банк
pharmacy  |  Аптека гормональних препаратів
nightclub  |  Partyfon
bank  |  Креді Агріколь Банк
cafe  |  Baobab
clinic  |  Приватна Жіноча Консультація
veterinary  |  Ветклініка Vet.Ua
pharmacy  |  Аптека 36,6
pharmacy  |  Аптечний супермаркет
pharmacy  |  Аптека №1
fast_food  |  Eco Buffet
bank  |  Ощадбанк
pharmacy  |  Інтелекс
atm  |  Райффайзен Банк
bank  |  Райффайзен Банк
atm  |  Ощадбанк
bar  |  Гринвич
police  |  СБУ. Правобережне відділення
bank  |  ПриватБанк
veterinary  |  Друг - Центр ветеринарної медицини
veterinary  |  ветклініка Алден-вет
library  |  Бібліотека ім. М. Костомарова
restaurant  |  Їдальня
kindergarten  |  ДНЗ Берізка
bank  |  УкрЕксімБанк
bank  |  Експобанк
cafe  |  Street кава
bank  |  ПриватБанк
