====================
getFeatureName(i) getFeatureType(i)
بوستان شهید خورسی | park
بوستان کاشانه | park
بوستان لاله | park
بوستان هفده شهریور | park
Praying Room | building
بوستان سراج | park
Cafe Park | building
فیوچر کالا | building
Qods Cinema | building
Pars Hospital | building
باشگاه ورزشی کوش | building
شرکت نفت پتروپارس | building
Bank Melli Iran | building
موسسه مالی اعتباری آرمان | building
موسسه مالی اعتباری آرمان | building
College Of Management And Economy | building
Peris cosmetic Clinic | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
نگهبانی | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
مرکز مخابرات شهید باکری | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
رستوران شیان | building
استخر شیان | building
<noname> | building
بوستان | park
Ghaem Park | park
Narges Women Park | park
Takhti Park | park
Nojavan Park | park
پاساژ معلم (مجتمع تجاری معلم) | building
بوستان بهار | park
بوستان بهاران | park
بوستان فتح المبین | park
بوستان گلستانه | park
بوستان نیلوفر | park
senobar | park
<noname> | lake
کتابخانه مرکزی پارک‌ شهر | building
<noname> | building
بوستان مهرآرا | park
بند زندانیان سیاسی زندان قصر | building
باغ موزه قصر | park
<noname> | building
<noname> | building
بوستان شاد | park
Azadegan Sadid High School | building
Tir Park | park
Banafseh | park
Hesarak River | stream
Hesarak River | stream
Bank Mellat | building
بوستان شهریور | park
Ordibehesht | park
<noname> | park
Kaj | park
مسجد بهشتی | building
Block No. 109 | building
Block No. 104 | building
Block No. 106 | building
Block No. 103 | building
Block No. 107 | building
Block No. 102 | building
Block No. 111 | building
Block No. 105 | building
Block No. 110 | building
Block No. 108 | building
دانشکده مواد | building
Block No. 101 | building
Samarghand Shopping Center | building
Sepid Building | building
بازار میوه و تره بار شهران | building
بوستان گلدیس | park
بوستان آذین | park
بوستان سینا | park
مرکز خرید پاسداران | building
Banafsheh Park | park
Geomatics Engineering Faculty, K.N. Toosi University of Technology. | building
اسکان | building
مرکز خرید اسکان | building
اسکان | building
Paytakht Computer Center | building
سازمان مرکزی دانشگاه صنعتی خواجه نصیرالدین طوسی | building
<noname> | building
Exir | building
Atieh Clinical Neuroscience Center | building
<noname> | building
Afarinesh Complex | building
<noname> | building
<noname> | building
Energy Engineering Department | building
سرای محله | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
اداره کل بهزیستی استان تهران | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
مرکز خرید ونک | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
مسجد النبی | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Tower 20 | building
مرکز درمانی زهرا همایون | building
Bank Melli Iran | building
<noname> | park
Architecture Studios No. ۳ & ۴ | building
Architecture Studios No. ۵ & ۶ | building
Central Building | building
Architecture & Planning Departments | building
رستوران پردیس هنرهای زیبا | building
بوفه پردیس هنرهای زیبا | building
Academics Building | building
Master's Studios | building
Sculpturing Atelier | building
Library of the School, Dep. of Music, Dep. of Performing Arts | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Diamond of Persia Shopping Center | building
CNG | building
میوه و تره‌بار ازگل | building
Motahari Park | park
<noname> | park
<noname> | park
گذر سبز شاهد | park
بوستان ذبیحی | park
پارک میخک | park
Africa Movie Theater | building
Paraxweb | building
کلانتری ۱۰۶ نامجو | building
تعزیرات استان تهران | building
شماره ۱۶ | building
Shahid Beheshti Bus Station | building
<noname> | building
بوستان باغ حکیم | park
کلانتری ۱۲۷ نارمک | building
مسجد چهارده معصوم | building
مرکز آموزشی رفاهی فرهنگیان منطقه ۵ تهران | building
دبستان پسرانه اشرفی اصفهانی | building
ایستگاه آتش نشانی | building
Iran alzheimer's association | building
مرکز مشاوره و کلینیک مادر و کودک دانشگاه شهید بهشتی | building
دانشگاه شهید بهشتی -پردیس شماره ۲ | building
بلوک 5 | building
بلوک 3 | building
2 | building
بلوک 4 | building
بلوک 6 | building
بلوک 8 | building
بلوک 7 | building
خوابگاه دانشجویی نبوت | building
میدان ۴۳ | park
میدان ۵۱ | park
گلها | park
بوستان سنبل | park
بوستان بهار | park
